"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"KDELR3",7.27408206828467,7.32582435605535,7.44601684339535,7.79988852702202,7.38899749364677,7.41976778657943,7.19540489842651,7.4292602353308,7.78791592285688,7.64730395716452,7.33990798987969,7.36869282097282,7.5589243734465,7.30472218942949,7.29815048332777,7.44481420370356,7.53506615618861,7.22406985583964,7.1973932994848,7.42711303401314,7.51760263124579,7.58709374587974,7.5699529940612,7.28787464307201,7.51547278125081,7.16798335297232,7.433267023508,7.54456948806547,7.39516876639041,8.18968893401371,7.35714484072368,8.22386993954812,7.61535335927728,7.4011553233873,7.52281386451329,7.16639538519661,7.15243486112448,7.84705883002743,7.89817357890948,7.9262195608771,7.47780657890434,7.48036734323266,7.5941079573076,7.57426042597023,7.57981489309769,7.4760256249315
"KDF1",7.02132754647573,7.02319911887061,6.88251642249517,6.88251642249517,7.10995102657796,7.22347673459109,7.00097577778185,7.01586875958707,6.88251642249517,6.88251642249517,7.02770159063958,7.09062458692405,7.03141030535337,7.03225473467316,7.25870641815142,7.11328319123544,7.01154266507189,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.08776459487831,7.01133846323741,7.0706453437943,7.02512955972127,7.23185713176254,7.09176345666682,7.0281973615599,7.1127452621905,6.88251642249517,6.88251642249517,6.88251642249517,7.01770717879645,7.06674675139881,6.99161092150749,6.88251642249517,7.00336841381108,6.99304132484168,7.02225867516453,7.00731504888788,7.03232965149577,6.88251642249517,7.01831177784575,7.03134754725511,6.88251642249517,7.06684626697479
"KIAA1210",6.88251642249517,6.88251642249517,6.88251642249517,7.21393381310568,6.88251642249517,6.88251642249517,7.04999625546489,7.01586875958707,7.08561574305141,7.02614332177148,7.02770159063958,7.13728569756104,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02222630029508,6.88251642249517,6.88251642249517,6.88251642249517,7.08776459487831,7.01133846323741,6.88251642249517,7.02512955972127,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.09191188596673,6.88251642249517,6.98893001332082,8.05978454347705,6.98996093350711,6.88251642249517,6.99304132484168,6.88251642249517,7.00731504888788,7.09428934727395,6.88251642249517,6.88251642249517,7.17978452590307,7.03609233859106,7.01290160221246
"KIAA1549L",7.88280240948475,7.95673131816731,8.41361487855162,9.24222227893435,9.9732763811285,8.17689869477428,8.58654676575253,8.13606818326604,8.42183540798472,8.42696454875529,9.18693517413288,9.16294999851853,8.40788473454237,8.00920867622376,8.04999845154689,8.7278896881435,8.68948265176058,10.063528915859,10.0235036721902,8.29900648491245,9.34598223793531,9.76796715227204,9.80174827743176,8.66776795902631,8.586409306781,8.06246349302405,10.0319496536343,9.98143258461112,8.63555304869145,9.04184716050942,9.60725036951883,8.91364210843341,7.68362566967191,8.38519678666031,9.56399014629262,9.84565209212595,10.171688494165,8.84310853434034,8.54127731953545,8.5264253092678,9.57015801298739,7.85034247215067,8.02859819645042,8.07602684471929,8.06839435297686,7.72574621106079
"KIAA2012",6.88251642249517,6.88251642249517,7.08941079588879,6.88251642249517,6.99632200645322,6.88251642249517,7.00097577778185,7.01586875958707,7.02618857320042,6.88251642249517,6.88251642249517,7.02973485012266,6.88251642249517,6.98842114981722,7.00822886922516,6.88251642249517,6.88251642249517,7.08001897663787,7.0818988391142,6.99205727042064,6.99070910142868,7.02770994019145,6.88251642249517,6.88251642249517,6.88251642249517,7.0254244185942,6.88251642249517,6.88251642249517,7.07056386657249,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.03232965149577,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"KIF17",6.88251642249517,7.02319911887061,6.88251642249517,6.99320480521288,6.99632200645322,7.02198274911663,6.88251642249517,6.88251642249517,7.08561574305141,7.02614332177148,6.88251642249517,7.02973485012266,6.88251642249517,6.88251642249517,6.88251642249517,7.01584430872047,7.06492637586565,7.02222630029508,7.02355713349501,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.08845304027549,6.88251642249517,7.05146325442701,7.03321636310788,7.09191188596673,6.88251642249517,7.06674675139881,6.99161092150749,7.03443083231288,7.05337705125751,6.99304132484168,6.88251642249517,7.00731504888788,7.09428934727395,7.01085033621719,7.01831177784575,7.03134754725511,6.88251642249517,7.10819687047203
"KIF26A",6.88251642249517,6.88251642249517,7.02887546223115,6.88251642249517,6.88251642249517,7.02198274911663,6.88251642249517,7.07103809164067,6.88251642249517,7.02614332177148,7.08775280172427,7.02973485012266,6.88251642249517,6.88251642249517,7.00822886922516,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.06463787832196,6.88251642249517,6.88251642249517,7.08453639317515,6.88251642249517,6.88251642249517,6.88251642249517,7.05146325442701,6.88251642249517,7.03064629731265,7.01770717879645,6.88251642249517,6.99161092150749,7.03443083231288,6.88251642249517,6.88251642249517,7.08006470811182,7.00731504888788,6.88251642249517,7.01085033621719,6.88251642249517,7.09290229498192,6.88251642249517,7.10819687047203
"KIR2DL4",7.02132754647573,6.88251642249517,7.32010254706041,6.88251642249517,6.88251642249517,7.25065374411157,6.88251642249517,7.28144372303302,7.02618857320042,6.88251642249517,7.13377298065844,7.02973485012266,7.09299093066128,7.45887037569671,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99205727042064,6.99070910142868,6.88251642249517,7.01133846323741,6.9911839884206,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01553307530002,7.1748079905264,7.03321636310788,7.03064629731265,6.88251642249517,6.98893001332082,7.10054985438054,6.98996093350711,7.05337705125751,6.99304132484168,7.02225867516453,6.88251642249517,6.88251642249517,7.16910296495337,7.0744892949221,6.88251642249517,7.2578175721174,7.06684626697479
"KIT",7.22188105761262,7.08139313128756,7.08941079588879,6.99320480521288,6.99632200645322,7.22347673459109,7.14710305098049,7.18027869017235,7.08561574305141,7.02614332177148,8.65677465872161,8.59079200222352,7.17990954482582,7.09418354108219,7.00822886922516,7.54359432064616,7.49685862341453,7.02222630029508,7.12661213734363,7.49765166112663,6.99070910142868,7.4034061512854,7.379151988926,7.09969780446446,7.02512955972127,7.08453639317515,6.88251642249517,7.08845304027549,6.88251642249517,7.12130719731741,7.25082127050938,7.03064629731265,7.46798908285408,7.06674675139881,7.07138376385957,7.12254823354241,7.00336841381108,6.88251642249517,7.02225867516453,7.00731504888788,7.2486638304543,7.06394824594452,6.88251642249517,7.35130537213741,7.38949796013969,7.40143287205961
"KLC3",6.88251642249517,6.88251642249517,6.88251642249517,7.07414045950772,7.04342014818346,7.02198274911663,7.00097577778185,6.88251642249517,7.02618857320042,6.88251642249517,6.88251642249517,7.02973485012266,6.88251642249517,6.88251642249517,7.00822886922516,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99205727042064,6.99070910142868,7.02770994019145,7.01133846323741,6.9911839884206,7.02512955972127,6.88251642249517,6.88251642249517,7.0281973615599,7.01553307530002,7.12130719731741,7.03321636310788,7.09191188596673,7.01770717879645,7.03297389020179,6.99161092150749,7.12254823354241,7.15243486112448,6.99304132484168,7.02225867516453,6.88251642249517,7.03232965149577,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.01290160221246
"KLC4-AS1",6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.99632200645322,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02770159063958,6.88251642249517,6.88251642249517,6.98842114981722,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,6.88251642249517,7.02512955972127,6.88251642249517,6.88251642249517,6.88251642249517,7.1127452621905,7.1748079905264,6.88251642249517,7.09191188596673,7.01770717879645,6.88251642249517,7.03676262821885,6.98996093350711,7.05337705125751,6.88251642249517,6.88251642249517,6.88251642249517,7.03232965149577,7.01085033621719,6.88251642249517,7.03134754725511,7.03609233859106,6.88251642249517
