"","X_R24834A_2","X_R24834A_1","X_R21723B_2","X_37014_1","X_31616_1","X_R35073B_1","X_7158_1","X_R35073B_2","X_R40334B_1","X_R40334B_2","X_R30875B_2","X_R30875B_1","X_R21723B_1","X_40064_1","X_R9288_1","X_Rou7776B_1","X_Rou7776B_2","X_ROU7788A_1","X_ROU7788A_2","X_21868_1","X_35794_1","X_Rou6223B_2","X_Rou6223B_1","X_776_1","X_R41544A_1","X_R9288_2","X_R16380_1","X_R16380_2","X_R41544A_2","X_R34914A_1","X_R19459B_2","X_R34914A_2","X_R29425B_2","X_33098_1","X_24339_1","X_20026_2","X_20026_1","X_14501_1","X_R19880A_10","X_R19880A_9","X_R19459B_1","X_R40757A_2","X_R40757A_3","X_R25549B_2","X_R25549B_1","X_R29425B_1"
"RPL23AP89",1,0,0,2,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,1,1,0,3,4,0,1,0,1,0,0,0,1,0,0,1
"RPL30P4",4,8,4,13,8,3,9,4,4,1,3,2,2,8,8,0,1,2,1,12,11,0,1,3,5,2,3,2,6,0,3,3,2,13,437,7,8,11,2,3,2,4,1,0,4,3
"RPL32P32",1,0,1,5,3,0,3,1,0,0,1,1,2,3,2,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,2,0,6,0,2,3,1,1,2,1,0,3,2,0,1
"RPL35AP10",0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,6,0,1,0,1,0,1,0,0,1,0,5,0,1,0,0,0,0,0,2,0,1
"RPL35AP5",0,3,0,5,3,2,2,0,1,3,1,0,0,1,1,1,3,2,2,4,5,1,1,1,2,0,2,1,5,1,1,0,0,3,1,2,1,3,0,1,1,0,0,0,1,2
"RPL36AP43",0,0,0,3,3,0,3,0,0,1,0,0,0,7,7,0,1,2,3,2,7,0,0,2,1,2,2,0,1,3,1,0,0,2,2,1,1,3,0,1,1,1,1,1,0,0
"RPL39P18",0,0,3,2,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,3,1,2,2,1,1,0,1,1,0,1,1,1,0,1
"RPL3P9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,2,1,3,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"RPL7AP9",0,0,0,2,3,0,1,1,0,2,2,2,1,3,1,1,0,1,1,3,0,0,2,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,1
"RPL7L1P3",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,1
"RPL7L1P8",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,1,0,1,1,1,0,1
"RPL7P18",2,1,0,1,0,0,2,0,0,0,0,2,2,0,1,1,1,1,0,0,4,0,0,0,0,2,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"RPL7P31",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RPL7P46",0,1,0,1,4,0,2,0,2,0,0,1,0,1,0,0,1,1,0,2,0,0,1,0,2,1,0,0,0,1,0,0,2,3,1,10,9,2,1,1,1,0,0,1,0,0
"RPL9P33",0,0,1,0,7,3,1,3,4,0,2,1,1,5,2,1,0,0,1,0,3,1,2,0,1,4,2,1,0,3,3,4,2,0,6,1,0,6,3,6,0,1,3,0,0,1
"RPL9P5",0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,2,1,1,1,1,3,0,0,0,1,0
"RPRML",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1
"RPS11P7",1,0,1,3,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,4,3,1,2,5,0,2,1,0,0,0,2,0
"RPS24P17",4,3,1,0,0,2,0,1,0,0,1,0,0,8,3,0,1,0,0,0,0,0,4,0,0,1,2,1,1,2,1,0,1,12,1,2,4,2,1,4,0,0,0,0,0,2
"RPS25P3",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,1,1,0,0,0,0,1,0,0,0,0
"RPS26P28",0,0,0,3,0,1,1,0,0,1,0,0,0,0,2,0,0,2,1,0,2,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0
"RPS26P31",4,2,0,1,2,1,2,3,1,2,1,0,0,5,2,2,3,0,1,1,0,2,1,1,2,0,0,1,2,0,1,2,1,5,1,2,4,1,0,1,1,1,3,4,5,8
