"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BOLA2P2",5.37790453509868,0.115975951714947,0.194470199888347,0.596368758717446,0.550928906279917,0.939102991503593
"BOLA2P3",0.140847103875194,0.337797414106942,1.84799639943443,0.182791164642054,0.854961881407016,NA
"BOLA3",223.723593382274,-0.0888849507557718,0.0559613171379162,-1.58832842580734,0.1122120929059,0.753424052368183
"BOLA3-AS1",37.9480372142845,0.00686573479423576,0.143328947633608,0.0479019410076648,0.961794392468,0.996846182438628
"BOLA3P1",0.0113725076728739,0.195042192369284,3.30124425294482,0.0590814182244465,0.952887258893594,NA
"BOLA3P2",0,NA,NA,NA,NA,NA
"BOLA3P3",0.136814785770861,-0.49375288633152,1.85311925226691,-0.266444205211032,0.789897124387213,NA
"BOLA3P4",0.0790489748781564,0.232574918432093,3.03253787969281,0.0766931618528217,0.938867644570787,NA
"BOLL",0.702227046064285,0.186907530266409,0.559224165422876,0.334226490597152,0.738208655651024,NA
"BOP1",1479.61070744043,0.0441147034972661,0.0672273934907948,0.656201307333246,0.511694607837802,0.929283232527
"BORA",327.089598920692,-0.116941176934055,0.0633281762652435,-1.84658999880652,0.0648065847738649,0.686349403081683
"BORCS5",252.926095701419,0.15842736609371,0.0715803032967563,2.2132815704469,0.0268782393970777,0.556351044730595
"BORCS6",190.862715597086,0.107966832108255,0.0598140146821442,1.80504239151974,0.0710680487078311,0.70169528335512
"BORCS7",103.854291879376,-0.10662830236845,0.101895236623413,-1.04645031408613,0.295353173296216,0.863565891972069
"BORCS7-ASMT",0,NA,NA,NA,NA,NA
"BORCS8",194.44122485363,-0.0141276858525067,0.0623446260963492,-0.22660631295909,0.820729882956179,0.982758213521424
"BORCS8-MEF2B",1.70681627446077,-0.513012006387833,0.425560202170299,-1.20549807940579,0.228011079014385,0.837835729604205
"BPESC1",0.0231494714878346,-0.0208866557831759,3.30124425294482,-0.00632690409518903,0.994951894583828,NA
"BPGM",294.437755120282,-0.0890545575787574,0.0955174420233116,-0.932338175021722,0.351161784826294,0.883769229334533
"BPHL",103.57504515324,0.0162107600687968,0.0945014807626782,0.171539746657589,0.863799380270264,0.987754278081908
"BPI",0.0565537553615462,0.0840315964844518,3.30124425294482,0.0254545226120402,0.979692422419591,NA
"BPIFA1",0,NA,NA,NA,NA,NA
"BPIFA2",0.0555900115849915,-0.0147941599990911,3.30124425294482,-0.00448138909621552,0.996424380797286,NA
"BPIFA3",0,NA,NA,NA,NA,NA
"BPIFA4P",0.0422593331802902,0.0797052381785975,3.30124425294482,0.0241439990717129,0.980737747355616,NA
"BPIFB1",0.171416935065899,0.0876860858781709,2.36445622407903,0.0370850959240427,0.970417155584071,NA
"BPIFB2",1.07295639895005,-0.132828932324025,0.464023478809423,-0.286254765954588,0.774683000627446,NA
"BPIFB3",0.0235607312840067,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"BPIFB4",0.182517637713754,0.240291572597147,2.09102930742368,0.114915449412427,0.908512139360299,NA
"BPIFB5P",0.0595318733600459,-0.0461101427593694,3.30124425294482,-0.013967504136732,0.988855906449908,NA
"BPIFB6",1.22331375298647,0.582583467640854,0.505351474570546,1.15282827290836,0.248980877239074,NA
"BPIFB9P",0.495190757383814,-0.238673876649147,0.589121363982507,-0.405135327355459,0.685378040015503,NA
"BPIFC",0.498408306065263,0.397907945562413,0.68185367719971,0.583567939673762,0.559511035352468,NA
"BPNT1",794.653109581262,-0.0161212287826323,0.0689799752909043,-0.233708822229139,0.815211038262479,0.982758213521424
"BPNT2",760.151142529852,-0.0308271657759367,0.0590784651379914,-0.521800383675045,0.601809322516917,0.950305350947051
"BPNT2P1",0.0280789315323658,0.237205989148012,3.30124425294482,0.0718535106684142,0.942718487478358,NA
"BPTF",2060.64396030655,0.0144750938956174,0.06497897180903,0.222765819350897,0.82371777175842,0.98320401188117
"BPTFP1",0,NA,NA,NA,NA,NA
"BPY2",0,NA,NA,NA,NA,NA
"BPY2B",0,NA,NA,NA,NA,NA
"BPY2C",0,NA,NA,NA,NA,NA
"BPY2DP",0,NA,NA,NA,NA,NA
"BRAF",800.163415108925,0.00948935289579306,0.0755197761481984,0.125653880079985,0.900005910774786,0.991483185330426
"BRAFP1",0.434973551315826,0.255251869246122,0.655516736489379,0.389390316123924,0.696987434518346,NA
"BRAP",498.344629313592,-0.0416141971651339,0.0338984794479457,-1.22761250188335,0.219592466444033,0.835835570459902
"BRAT1",665.857113246694,0.0217771668990482,0.0558744337075885,0.389751903581093,0.69672001203063,0.967248268282287
"BRCA1",1063.53352152085,-0.0791800204412808,0.0650560895052018,-1.21710390285524,0.223564685960781,0.836845056574115
"BRCA1P1",2.06466909517395,0.568350099667487,0.33195829971948,1.71211293752188,0.0868758576053506,0.721821368814054
"BRCA2",942.758111265575,-0.0487958652239678,0.0971233372608925,-0.502411331819174,0.615378209580597,0.952663460276657
"BRCC3",586.79872148624,-0.136422725031831,0.0748550798951224,-1.82249120865236,0.068380486468898,0.690648899887573
"BRCC3P1",2.65101217994787,0.172870932045564,0.278854387404704,0.619932623812996,0.53530214618464,0.934638549036055
"BRD1",670.92989452892,0.0284221104279119,0.0382301654618334,0.743447225105179,0.457210961796491,0.913820593963263
"BRD2",5098.02645915342,0.0201221227728241,0.0440191417202759,0.457122106121291,0.647583281909994,0.957898172894636
"BRD3",298.553902832796,-0.0886174373804365,0.0799960275937184,-1.10777297380945,0.267959874748913,0.852258510491978
"BRD3OS",267.856094893296,0.0648007144967209,0.0706968371157976,0.916599909421419,0.359352331859645,0.886159448788706
"BRD4",1547.62636784924,0.0545410220299289,0.0461323905698016,1.18227174781685,0.237097891924404,0.841866979070745
"BRD7",902.392379444926,-0.0446724867304749,0.0450464603793884,-0.991698045845026,0.32134484460805,0.8749334260405
"BRD7P1",0.0361348162411365,-0.0355093021271866,3.30124425294482,-0.0107563389456903,0.991417848715597,NA
"BRD7P2",4.98843751610244,-0.132527936144416,0.200994017664441,-0.659362590411377,0.50966295869765,0.929283232527
"BRD7P3",0.757509167638624,-0.0650967072306856,0.505678317786915,-0.128731458203665,0.897570142461726,NA
"BRD7P4",1.27519219024174,0.50351517060261,0.427297284300795,1.17837203535364,0.238648321186135,0.842755767844764
"BRD7P5",0.360432495389774,-0.288439543591722,0.720524470114923,-0.400318872648025,0.688921669211289,NA
"BRD7P6",0,NA,NA,NA,NA,NA
"BRD8",748.923725194631,-0.0105656024557504,0.0442252698039759,-0.238904194425074,0.811179873046795,0.982160715429469
"BRD9",804.683797804322,0.0127519316170094,0.0377738856528526,0.337585911446905,0.735675260562929,0.971827974659499
"BRD9P1",0,NA,NA,NA,NA,NA
"BRD9P2",0,NA,NA,NA,NA,NA
"BRDT",0.230539169819005,-0.0747520433944056,1.07672690276445,-0.0694252583477603,0.94465112416715,NA
"BRDTP1",0.0226595193265992,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"BRF1",458.003049774067,0.086605949176116,0.0701929388270379,1.23382708607658,0.217267344029883,0.835354688114895
"BRF2",91.0084247468615,0.0439435714453154,0.0591000037892926,0.743546000470423,0.457151182267691,0.913820593963263
"BRI3",487.927746815298,0.0720439865847158,0.104006149019849,0.692689684827833,0.488504313860886,0.924773628087623
"BRI3BP",1315.56800055247,-0.0514383579012269,0.0599912197060057,-0.857431440022504,0.391206489910349,0.895243553710394
"BRI3BPP1",0.0361073315439841,0.0541771225249373,3.30124425294482,0.0164111221024041,0.986906406790189,NA
"BRI3P1",0.193052545072323,0.0281115898815079,1.37399921585437,0.0204596840792429,0.98367667278273,NA
"BRI3P2",0.144918323488895,-0.206171940626546,1.84299110099797,-0.111868115106419,0.910927978333513,NA
"BRI3P3",0.134206653189278,-0.125804679800483,3.30124425294482,-0.0381082616617236,0.9696013642429,NA
"BRICD5",21.024836972868,0.126939416094711,0.119721224644133,1.06029166066447,0.289011931950203,0.859834808119702
"BRINP1",0.229862602965342,-0.0692311328338341,1.22369171459467,-0.0565756325781497,0.954883245832139,NA
"BRINP2",0.225509379954995,0.152115090465096,1.05941749410304,0.143583706434718,0.885829207704834,NA
"BRINP3",0.194648241281994,-0.862550881091879,1.63848862656521,-0.526430801597971,0.598588919377398,NA
"BRIP1",436.766842333215,-0.174619211563917,0.0799548869481034,-2.18397171491541,0.0289643265597209,0.56960060940277
"BRIX1",785.357028255119,-0.0919064689402201,0.0787727635563417,-1.16672901636217,0.243319820951829,0.846556982939824
"BRIX1P1",0.307087315018454,0.268222361843953,0.782076647650724,0.342961732267118,0.73162724928186,NA
"BRK1",1858.61931427223,-0.0652373733483806,0.0496246035039825,-1.31461752320389,0.188638477888655,0.81807148306717
"BRK1P1",0.0989383341795855,0.106817428684804,3.30124425294482,0.032356717801029,0.974187578590226,NA
"BRK1P2",0.0240624959345775,0.188949772668639,3.30124425294482,0.0572359262723712,0.954357260028724,NA
"BRME1",15.4612006828375,0.21884910570393,0.169608215654748,1.29032137304844,0.196939099060921,0.823333656688434
"BRMS1",859.631877083431,0.0346084957973729,0.0610036902398261,0.567318069797339,0.570498102459036,0.944184901397147
"BRMS1L",159.832648953907,-0.0388825982781652,0.117179135462454,-0.331821856550766,0.740023779335969,0.971827974659499
"BROX",326.435007215217,0.0497588220282305,0.0688379165740645,0.722840325573969,0.469777989245373,0.915499040366227
"BRPF1",526.228016638051,0.0533938156242428,0.052916545096463,1.0090193062852,0.312965375250424,0.873045664895826
"BRPF3",387.653589199922,0.155606569972153,0.0904436044936059,1.72048173934901,0.0853449101867364,0.721646396433276
